DELIVERY,OPEN,HIGH,LOW,LAST,CHANGE,SETTLE,VOLUME,OPEN INTEREST
2027,-1.25,N/A,N/A,-1.25,N/A,-1.25,-,640
2028,0.00,0.00,0.00,0.00,N/A,0.80,4,290
2029,0.00,0.00,0.00,0.00,N/A,1.31,0,75
2030,0.00,0.00,0.00,0.00,N/A,0.62,0,0
,,,,,,Total,4,1005
